10	PARTIDO REPUBLICANO BRASILEIRO	00299	13
11	PARTIDO PROGRESSISTA	00299	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00299	13
13	PARTIDO DOS TRABALHADORES	00299	13
14	PARTIDO TRABALHISTA BRASILEIRO	00299	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00299	13
17	PARTIDO SOCIAL LIBERAL	00299	13
19	PARTIDO TRABALHISTA NACIONAL	00299	13
22	PARTIDO DA REPÚBLICA	00299	13
23	PARTIDO POPULAR SOCIALISTA	00299	13
25	DEMOCRATAS	00299	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00299	13
31	PARTIDO HUMANISTA DA SOLIDARIEDADE	00299	13
33	PARTIDO DA MOBILIZAÇÃO NACIONAL	00299	13
36	PARTIDO TRABALHISTA CRISTÃO	00299	13
40	PARTIDO SOCIALISTA BRASILEIRO	00299	13
43	PARTIDO VERDE	00299	13
44	PARTIDO REPUBLICANO PROGRESSISTA	00299	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00299	13
51	PARTIDO ECOLÓGICO NACIONAL	00299	13
55	PARTIDO SOCIAL DEMOCRÁTICO	00299	13
65	PARTIDO COMUNISTA DO BRASIL	00299	13
70	PARTIDO TRABALHISTA DO BRASIL	00299	13
77	SOLIDARIEDADE	00299	13
11	PARTIDO PROGRESSISTA	00310	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00310	13
13	PARTIDO DOS TRABALHADORES	00310	13
14	PARTIDO TRABALHISTA BRASILEIRO	00310	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00310	13
20	PARTIDO SOCIAL CRISTÃO	00310	13
22	PARTIDO DA REPÚBLICA	00310	13
25	DEMOCRATAS	00310	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00310	13
33	PARTIDO DA MOBILIZAÇÃO NACIONAL	00310	13
40	PARTIDO SOCIALISTA BRASILEIRO	00310	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00310	13
55	PARTIDO SOCIAL DEMOCRÁTICO	00310	13
65	PARTIDO COMUNISTA DO BRASIL	00310	13
