Ano;SiglaUF;TSEcod;IBGEcod;Municipio
1994;BA;37583;2922854;NOVA REDENCAO
1994;BA;37591;2922904;NOVA SOURE
1994;BA;37613;2923001;NOVA VICOSA
1994;BA;39942;2923035;NOVO HORIZONTE
1994;BA;37621;2923050;NOVO TRIUNFO
1994;BA;37630;2923100;OLINDINA
1994;BA;37656;2923209;OLIVEIRA DOS BREJINHOS
1994;BA;37672;2923308;OURICANGAS
1994;BA;37680;2923357;OUROLANDIA
1994;BA;37699;2923407;PALMAS DE MONTE ALTO
1994;BA;37710;2923506;PALMEIRAS
1994;BA;37737;2923605;PARAMIRIM
1994;BA;37753;2923704;PARATINGA
1994;BA;37770;2923803;PARIPIRANGA
1994;BA;37796;2923902;PAU BRASIL
1994;BA;37818;2924009;PAULO AFONSO
1994;BA;39810;2924058;PE DE SERRA
1994;BA;37834;2924108;PEDRAO
1994;BA;37850;2924207;PEDRO ALEXANDRE
1994;BA;37877;2924306;PIATA
1994;BA;37893;2924405;PILAO ARCADO
1994;BA;37915;2924504;PINDAI
1994;BA;37931;2924603;PINDOBACU
1994;BA;39837;2924652;PINTADAS
1994;BA;37940;2924678;PIRAI DO NORTE
1994;BA;37958;2924702;PIRIPA
1994;BA;37974;2924801;PIRITIBA
1994;BA;37990;2924900;PLANALTINO
1994;BA;38016;2925006;PLANALTO
1994;BA;38032;2925105;POCOES
1994;BA;38059;2925204;POJUCA
1994;BA;38067;2925253;PONTO NOVO
1994;BA;38075;2925303;PORTO SEGURO
1994;BA;38091;2925402;POTIRAGUA
1994;BA;38113;2925501;PRADO
1994;BA;38130;2925600;PRESIDENTE DUTRA
1994;BA;38156;2925709;PRESIDENTE JANIO QUADROS
1994;BA;38164;2925758;PRESIDENTE TANCREDO NEVES
1994;BA;38172;2925808;QUEIMADAS
1994;BA;38199;2925907;QUIJINGUE
1994;BA;39845;2925931;QUIXABEIRA
1994;BA;39853;2925956;RAFAEL JAMBEIRO
1994;BA;38210;2926004;REMANSO
1994;BA;38237;2926103;RETIROLANDIA
1994;BA;38253;2926202;RIACHAO DAS NEVES
1994;BA;38270;2926301;RIACHAO DO JACUIPE
1994;BA;38296;2926400;RIACHO DE SANTANA
1994;BA;38318;2926509;RIBEIRA DO AMPARO
1994;BA;38334;2926608;RIBEIRA DO POMBAL
1994;BA;38342;2926657;RIBEIRAO DO LARGO
1994;BA;38350;2926707;RIO DE CONTAS
1994;BA;38377;2926806;RIO DO ANTONIO
1994;BA;38393;2926905;RIO DO PIRES
1994;BA;38415;2927002;RIO REAL
1994;BA;38431;2927101;RODELAS
1994;BA;38458;2927200;RUY BARBOSA
1994;BA;38474;2927309;SALINAS DA MARGARIDA
1994;BA;38490;2927408;SALVADOR
1994;BA;38512;2927507;SANTA BARBARA
1994;BA;38539;2927606;SANTA BRIGIDA
1994;BA;38555;2927705;SANTA CRUZ CABRALIA
1994;BA;38571;2927804;SANTA CRUZ DA VITORIA
1994;BA;38598;2927903;SANTA INES
1994;BA;39870;2928059;SANTA LUZIA
1994;BA;38636;2928109;SANTA MARIA DA VITORIA
1994;BA;35491;2928406;SANTA RITA DE CASSIA
1994;BA;38695;2928505;SANTA TERESINHA
1994;BA;38610;2928000;SANTALUZ
1994;BA;38652;2928208;SANTANA
1994;BA;38679;2928307;SANTANOPOLIS
1994;BA;38717;2928604;SANTO AMARO
1994;BA;38733;2928703;SANTO ANTONIO DE JESUS
1994;BA;38750;2928802;SANTO ESTEVAO
1994;BA;38776;2928901;SAO DESIDERIO
1994;BA;38806;2928950;SAO DOMINGOS
1994;BA;38814;2929107;SAO FELIPE
1994;BA;38792;2929008;SAO FELIX
1994;BA;38822;2929057;SAO FELIX DO CORIBE
1994;BA;38830;2929206;SAO FRANCISCO DO CONDE
1994;BA;39896;2929255;SAO GABRIEL
1994;BA;38857;2929305;SAO GONCALO DOS CAMPOS
1994;BA;39926;2929354;SAO JOSE DA VITORIA
1994;BA;38865;2929370;SAO JOSE DO JACUIPE
1994;BA;38873;2929404;SAO MIGUEL DAS MATAS
1994;BA;38890;2929503;SAO SEBASTIAO DO PASSE
1994;BA;38911;2929602;SAPEACU
1994;BA;38938;2929701;SATIRO DIAS
1994;BA;38946;2929750;SAUBARA
1994;BA;38954;2929800;SAUDE
1994;BA;38970;2929909;SEABRA
1994;BA;38997;2930006;SEBASTIAO LARANJEIRAS
1994;BA;39012;2930105;SENHOR DO BONFIM
1994;BA;39039;2930204;SENTO SE
1994;BA;39047;2930154;SERRA DO RAMALHO
1994;BA;39055;2930303;SERRA DOURADA
1994;BA;39071;2930402;SERRA PRETA
1994;BA;39098;2930501;SERRINHA
1994;BA;39110;2930600;SERROLANDIA
1994;BA;39136;2930709;SIMOES FILHO
1994;BA;39144;2930758;SITIO DO MATO
1994;BA;39900;2930766;SITIO DO QUINTO
1994;BA;39985;2930774;SOBRADINHO
1994;BA;39152;2930808;SOUTO SOARES
1994;BA;39179;2930907;TABOCAS DO BREJO VELHO
1994;BA;39195;2931004;TANHACU
1994;BA;39918;2931053;TANQUE NOVO
1994;BA;39217;2931103;TANQUINHO
1994;BA;39233;2931202;TAPEROA
1994;BA;39250;2931301;TAPIRAMUTA
1994;BA;39934;2931350;TEIXEIRA DE FREITAS
1994;BA;39276;2931400;TEODORO SAMPAIO
1994;BA;39292;2931509;TEOFILANDIA
1994;BA;39314;2931608;TEOLANDIA
1994;BA;39330;2931707;TERRA NOVA
1994;BA;39357;2931806;TREMEDAL
1994;BA;39373;2931905;TUCANO
1994;BA;39390;2932002;UAUA
1994;BA;39411;2932101;UBAIRA
1994;BA;39438;2932200;UBAITABA
1994;BA;39454;2932309;UBATA
1994;BA;39470;2932408;UIBAI
1994;BA;39489;2932457;UMBURANAS
1994;BA;39497;2932507;UNA
1994;BA;39519;2932606;URANDI
1994;BA;39535;2932705;URUCUCA
1994;BA;39551;2932804;UTINGA
1994;BA;39578;2932903;VALENCA
1994;BA;39594;2933000;VALENTE
1994;BA;39977;2933059;VARZEA DA ROCA
1994;BA;39616;2933109;VARZEA DO POCO
1994;BA;39950;2933158;VARZEA NOVA
1994;BA;39624;2933174;VARZEDO
1994;BA;39632;2933208;VERA CRUZ
1994;BA;39640;2933257;VEREDA
1994;BA;39659;2933307;VITORIA DA CONQUISTA
1994;BA;39675;2933406;WAGNER
1994;BA;39993;2933455;WANDERLEY
1994;BA;39691;2933505;WENCESLAU GUIMARAES
1994;BA;39713;2933604;XIQUE XIQUE
1994;CE;13013;2300101;ABAIARA
1994;CE;13145;2300150;ACARAPE
1994;CE;13030;2300200;ACARAU
1994;CE;13056;2300309;ACOPIARA
