SEQUENCIA_COLIGACAO,DATA_GERACAO,HORA_GERACAO,ANO_ELEICAO,NUM_TURNO,DESCRICAO_ELEICAO,SIGLA_UF,SIGLA_UE,NOME_UE,CODIGO_CARGO,DESCRICAO_CARGO,TIPO_LEGENDA,NUM_PARTIDO,SIGLA_PARTIDO2,NOME_PARTIDO,SIGLA_COLIGACAO,NOME_COLIGACAO,COMPOSICAO_COLIGACAO,SIGLA_PARTIDO
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,5,SENADOR,PARTIDO ISOLADO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,5,SENADOR,PARTIDO ISOLADO,44,PRP,PARTIDO REPUBLICANO PROGRESSISTA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,5,SENADOR,PARTIDO ISOLADO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,5,SENADOR,PARTIDO ISOLADO,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,20,PSC,PARTIDO SOCIAL CRISTÃO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,26,PAN,PARTIDO DOS APOSENTADOS DA NAÇÃO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,9,1º SUPLENTE SENADOR,PARTIDO ISOLADO,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,#NE#,#NE#,#NE#,#NE#
-1,16/04/2015,14:36:31,2006,1,ELEICOES 2006,AP,AP,AMAPÁ,9,1º SUPLENTE SENADOR,PARTIDO ISOLADO,17,PSL,PARTIDO SOCIAL LIBERAL,#NE#,#NE#,#NE#,#NE#
