nome_uf;uf;nome_municipio;cod_ibge;cod_tse;2000;2004;2008;2012;2016
Tocantins;TO;Centenário;1704105;73210; 9; 9; 9; 9; 9
Tocantins;TO;Chapada da Natividade;1705102;73482; 9; 9; 9; 9; 9
Tocantins;TO;Chapada de Areia;1704600;73474; 9; 9; 9; 9; 9
Tocantins;TO;Colinas do Tocantins;1705508;93114; 9; 9; 9;13;13
Tocantins;TO;Colméia;1716703;95290; 9; 9; 9; 9; 9
Tocantins;TO;Combinado;1705557;92142; 9; 9; 9; 9; 9
Tocantins;TO;Conceição do Tocantins;1705607;93130; 9; 9; 9; 9; 9
Tocantins;TO;Couto Magalhães;1706001;93211; 9; 9; 9; 9; 9
Tocantins;TO;Cristalândia;1706100;93238; 9; 9; 9; 9; 9
Tocantins;TO;Crixás do Tocantins;1706258;73555; 9; 9; 9; 9; 9
Tocantins;TO;Darcinópolis;1706506;73032; 9; 9; 9; 9; 9
Tocantins;TO;Dianópolis;1707009;93416; 9; 9; 9; 9;11
Tocantins;TO;Divinópolis do Tocantins;1707108;92185; 9; 9; 9; 9; 9
Tocantins;TO;Dois Irmãos do Tocantins;1707207;93459; 9; 9; 9; 9; 9
Tocantins;TO;Dueré;1707306;93475; 9; 9; 9; 9; 9
Tocantins;TO;Esperantina;1707405;73296; 9; 9; 9; 9; 9
Tocantins;TO;Fátima;1707553;96830; 9; 9; 9; 9; 9
Tocantins;TO;Figueirópolis;1707652;96679; 9; 9; 9; 9; 9
Tocantins;TO;Filadélfia;1707702;93556; 9; 9; 9; 9; 9
Tocantins;TO;Formoso do Araguaia;1708205;93653; 9; 9; 9;11;11
Tocantins;TO;Fortaleza do Tabocão;1708254;73199; 9; 9; 9; 9; 9
Tocantins;TO;Goianorte;1708304;92240; 9; 9; 9; 9; 9
Tocantins;TO;Goiatins;1709005;95338; 9; 9; 9; 9; 9
Tocantins;TO;Guaraí;1709302;96270; 9; 9; 9; 9;11
Tocantins;TO;Gurupi;1709500;93858;13;10;10;13;13
Tocantins;TO;Ipueiras;1709807;73598; 9; 9; 9; 9; 9
Tocantins;TO;Itacajá;1710508;94056; 9; 9; 9; 9; 9
Tocantins;TO;Itaguatins;1710706;94099; 9; 9; 9; 9; 9
